0	1
gene=rbsC_38	K10440
gene=sat/cysC	K00958
gene=hisP_8	K10017
gene=pelB	K01732
gene=artM	K09998
gene=yumC_2	K21567
gene=ribY	K02051
gene=ssuC	K15554
gene=sorM	K02771
gene=entC	K02361
gene=yfbT_1	K19270
gene=rplB	K02886
gene=fhuA_3	K02014
gene=mgl	K01740
gene=yedI_1	K09781
gene=asrA	K16950
gene=yjcS	K25227
gene=cutM_1	K03519
gene=chiD	K01183
gene=pykA_2	K00873
gene=ctpH	K03406
gene=mobA	K03752
gene=aceK	K00906
gene=sigJ	K03088
gene=hutI_1	K01468
gene=osmE_2	K04064
gene=invA	K03230
gene=htrB	K04771
gene=metP_4	K02072
protein=Gluconate	K06151
gene=iolI_2	K06606
gene=groL5_2	K04077
gene=rimI	K03789
gene=ilvA_3	K17989
gene=norB_3	K08170
gene=menC	K02549
gene=adhA	K13953
gene=cyoA_2	K02297
gene=metX	K00641
gene=dsbE	K02199
gene=fkpB	K03774
protein=NADH-quinone	K05577
gene=qseB_3	K07666
gene=proX	K19055
gene=pyrF	K01591
gene=metG	K01874
gene=ychF_3	K06942
gene=braC_9	K01999
gene=yjjX	K01529
gene=ribC	K00793
gene=yqgF_2	K07447
gene=pknJ_5	K12132
gene=rnc	K03685
gene=tar_14	K03406
gene=opuBB	K05846
gene=dasR_2	K24967
gene=ylmB_3	K01438
gene=araC	K02099
gene=dacA_2	K01286
gene=tetA_3	K23361
gene=fumB_1	K01676
gene=sbpA_2	K23163
gene=hypBA1_2	K09955
gene=aphA4	K00897
gene=anoI	K13061
gene=bcr_2	K07552
gene=scoF	K03704
gene=fumC_2	K01679
gene=artJ_1	K02030
gene=norM_2	K26939
gene=rocF_1	K01476
gene=gsiD_3	K02034
gene=chbC_3	K02761
gene=dapH_1	K05822
gene=ttdB	K03780
gene=gsiB_5	K02035
protein=putative	K12425
gene=psaK_1	K02698
gene=fadB2_1	K00074
gene=ddpA_6	K02035
gene=odhB_2	K00658
gene=rstB_4	K18072
gene=dnaT_2	K02317
gene=parB_3	K03497
gene=pduF	K02440
gene=braC_14	K01999
gene=ftsI_3	K03587
gene=leuD	K01704
gene=dat	K00824
gene=sugB_11	K02011
gene=yneB_6	K07450
gene=fruA_3	K02770
gene=malT	K03556
gene=allA_2	K01483
protein=putative	K12425
gene=esxU	K14956
gene=phaA_1	K00626
gene=yneB_12	K07450
gene=yckB	K02424
gene=fliC_1	K02406
gene=fabG2_4	K00059
gene=mcl2_2	K01644
gene=bglH_5	K01223
gene=yxdM_6	K11636
gene=cmdD_1	K22579
gene=gabR_1	K00375
gene=nadC_2	K03813
gene=leuC_1	K01703
gene=pcaR_2	K02624
gene=psd	K01613
gene=pdtaR_3	K07183
gene=ppaC_2	K15986
gene=mdcB	K05966
gene=thiE_3	K00788
gene=ybxI	K17838
gene=ctaD_2	K02274
gene=holE	K02345
gene=pgaA_4	K11935
gene=lat	K03918
gene=ispE	K00919
gene=lecA	K20258
gene=xthA_3	K01142
gene=bshB1_3	K01463
gene=bglH_3	K01223
gene=hcr_2	K11107
gene=ygbM_2	K22131
gene=vanX_1	K08641
protein=Ketol-acid	K00053
gene=fabY_2	K11533
protein=Aminopeptidase	K19689
gene=yxlG	K01992
gene=smc_15	K20283
gene=adiA_1	K01584
gene=abn2	K06113
gene=oadB_2	K20509
protein=putative	K12425
gene=hydB	K05922
gene=rpfA_1	K21687
gene=glf_1	K01854
gene=fadD_3	K01897
gene=yoaJ	K20628
gene=glpF_3	K02440
gene=anmK	K09001
gene=prsD_4	K12536
gene=def	K01462
gene=anoR_1	K07782
protein=Penicillin	K24041
gene=sigR_1	K03088
gene=acdA_5	K00252
gene=btuF	K02016
gene=fabH2	K00648
gene=bioF_3	K00652
gene=dtd3_2	K03424
gene=glpA	K00111
gene=bglF_4	K02757
protein=Beta-lactamase	K17836
gene=pglB_3	K21306
gene=ftsH_5	K13525
gene=cheA_1	K03407
gene=luxS_1	K07173
gene=nemA_4	K10680
gene=menF_2	K02361
gene=cotI	K06331
gene=comK_3	K02250
gene=rplW_1	K02892
gene=maoA	K00276
gene=pimA_2	K20812
gene=purR_4	K02058
protein=8-amino-7-oxononanoate	K00639
gene=rlp2	K24268
gene=malG_2	K02026
gene=fepB_3	K23185
gene=gerPA_1	K06299
gene=prxU	K24158
gene=yidH	K00389
gene=argD_2	K00821
gene=srpC_3	K07240
gene=mltD_1	K08307
gene=acs	K01895
gene=tcyB_3	K02029
gene=prsE_1	K12537
gene=sbcD_2	K03547
gene=pduF_1	K03441
gene=fabI_1	K00208
gene=nqrE_1	K00350
gene=btrK_2	K23373
gene=egtA_3	K01919
gene=nasA_2	K00372
gene=cyoD_2	K02300
gene=pstS1_1	K02040
gene=rstA_2	K07661
gene=pntAA_2	K00324
gene=yceD_6	K05795
gene=sufD_1	K09015
gene=rfbA	K00973
gene=sugB_5	K02026
gene=pldB_3	K01048
gene=glnA_2	K01915
gene=malL_1	K01187
gene=bfrB	K22336
protein=putative	K12425
gene=fim_2	K07345
gene=malG	K10110
gene=mop	K00106
gene=exo	K12373
gene=emrA_3	K03543
gene=era	K03595
gene=bcrC_2	K19302
gene=coiA	K06198
gene=ctpF_3	K12953
gene=spo0M_2	K06377
gene=dcuR_2	K11615
gene=yeiG_2	K01070
gene=tetM_1	K18220
gene=fdhE_1	K02380
protein=Ribonuclease	K07577
gene=ldc_2	K01581
gene=sulA_2	K14160
gene=trmD	K00554
gene=lrp_15	K26601
gene=gmr_6	K21024
gene=feuB_2	K25288
gene=moaA_1	K03639
gene=thcD_3	K00529
gene=glnH	K02030
gene=nqrF_3	K00351
gene=ppiC_1	K03769
gene=fliE_1	K02408
gene=dinG_3	K03722
gene=chuR_1	K06871
gene=glcR_4	K22103
gene=yjiE_2	K21645
gene=glgX_3	K01214
gene=btuF_6	K06858
gene=lgrB_4	K25233
gene=priB	K02686
gene=cah	K01674
gene=rdgC	K03554
gene=tmpC_2	K07335
gene=thcE	K11173
gene=lspA	K03101
gene=tsaA	K24158
gene=rcsB	K07687
gene=ugtP	K03429
gene=ntpB_3	K02118
protein=putative	K12425
gene=hypE_1	K04655
gene=htpX_5	K03799
gene=kdgK_8	K21621
gene=pip_2	K01259
gene=aam	K01426
gene=ypdF_2	K01262
gene=carD_2	K07736
gene=ruvC_3	K01159
gene=ttrB_2	K21308
protein=putative	K12425
gene=ihfA_3	K04764
gene=ansZ_1	K01424
gene=prlC_1	K01405
gene=xylE_3	K08138
gene=pyrF_1	K01591
gene=aofH_1	K05300
gene=gcdC_2	K23351
gene=gloB_1	K01069
gene=zapE_2	K06916
gene=amiC_5	K01448
gene=uvrD1_1	K03657
gene=caiT_2	K03451
gene=pckA_2	K01610
gene=emrB_4	K03446
gene=apbE_2	K03734
gene=pntAA	K00324
gene=opuAB_4	K02001
gene=opcR_1	K22109
gene=petA_2	K00411
gene=ecfT_4	K16785
gene=purN_1	K11175
gene=pelA	K19551
gene=czcC_4	K15725
gene=tlyC_3	K03699
gene=apxIB_3	K11004
gene=ibpB	K04081
gene=prcA_2	K01360
gene=cspLA_1	K03704
gene=fliM_3	K02416
gene=kojP	K10231
gene=nrfB	K04013
gene=fabD	K00645
gene=msrR_2	K01005
gene=sigF_7	K03090
gene=rplE	K02931
gene=mcl1_3	K01644
gene=qorA_2	K00344
gene=proS	K01881
gene=puo_1	K17839
gene=pspB_1	K15634
gene=tauB_4	K15555
gene=rbsA_26	K10554
gene=yxlF_10	K19340
gene=fdnG_3	K08348
gene=tmk_1	K23753
gene=phnD	K02044
gene=miaB	K06168
gene=srfAD_1	K15657
gene=secY	K03076
gene=aviRb	K03437
gene=cccB_1	K12263
gene=kdtA	K02527
gene=tyrS1_2	K01866
gene=iorB_3	K07303
gene=iphP_5	K01104
gene=apcE_2	K02096
gene=dprE2	K16652
gene=moeA1	K03750
gene=pdtaS_3	K00936
gene=oppD_7	K15583
gene=trpS	K01867
gene=nanE2	K01788
protein=Putative	K00123
gene=cidA_1	K06518
gene=ubiI_2	K18800
gene=argF	K00611
gene=pimC_1	K14335
gene=epsF_3	K02653
gene=lysA_2	K01586
gene=fnr	K01420
gene=dxr_1	K00099
gene=trmI	K07442
gene=ybaL_2	K26735
gene=plsC_3	K00655
gene=mmoC	K00326
gene=leuC1_2	K01703
gene=ydfK_1	K07150
gene=bfrB_1	K02217
gene=gyrA1	K02469
gene=oppD_6	K15583
gene=crp_5	K10914
gene=secA_1	K03070
gene=glnM_4	K09970
gene=lutP	K03303
gene=dpnA_5	K00571
gene=kipI_2	K23123
gene=pimB_4	K03857
gene=dnaC	K02314
gene=sacY_1	K26932
gene=alkA_2	K13529
gene=hflD	K07153
gene=yfkJ	K25307
gene=narL_3	K07684
gene=purC_2	K01923
gene=osmX	K05845
gene=pstA_1	K02038
gene=scoA	K01028
gene=aroE_2	K00014
gene=lepA_3	K03596
gene=lasA	K08642
gene=dapA	K01714
gene=xypA_5	K10439
gene=betT2	K02168
gene=ccmE_3	K02197
gene=dksA	K06204
gene=resE_9	K07769
gene=cobB	K02224
gene=davD_1	K26061
gene=araQ_10	K02026
gene=sopD	K13739
gene=hddC	K00992
gene=comC1	K12415
gene=leuB_1	K00052
gene=trpS2_1	K01867
gene=mfd	K03723
gene=groS5	K04078
gene=fkpA_2	K03772
protein=Putative	K00123
gene=bioY2_1	K03523
gene=rpoE_2	K03088
gene=sdaC_4	K03837
gene=pstB2	K02036
gene=rpsU	K02970
gene=cysA1_2	K01011
gene=exbD	K03560
gene=sdrC	K14194
gene=pbuO	K06901
gene=relB_1	K18918
gene=yfkM	K05520
gene=slt_1	K08309
gene=sfaS_4	K07349
protein=Type	K17811
protein=Ribonuclease	K07577
gene=oadG_2	K01573
gene=yhaV	K19155
gene=cytR_2	K05499
gene=rocA_2	K00294
gene=mbtI_4	K04781
gene=htpX	K03799
gene=occM_1	K02029
gene=kdpB_3	K01547
gene=prsA3_4	K07533
gene=lolA_1	K03634
protein=Methylmalonyl-CoA	K01571
gene=higA-1	K21498
gene=yqcG_3	K21491
gene=metR_6	K03576
gene=ppsE_6	K12444
gene=ftsW_4	K03588
gene=cycB_3	K10117
protein=Putative	K00123
gene=rpsB	K02967
gene=chpB	K18841
gene=yebS_1	K03808
gene=pilT_3	K02669
gene=est_1	K03928
gene=vraR_3	K11618
gene=murE_5	K01928
gene=carB6	K17836
gene=lacF_8	K10189
gene=lcdH_2	K07107
gene=sprT_1	K02742
gene=gcvA_23	K03566
gene=kdpB_2	K01547
gene=glnM_2	K02029
gene=mtrA	K07670
gene=purQ_2	K23265
gene=catJ	K01040
gene=kdpC	K01548
gene=yvoA	K05836
gene=cotH_2	K06330
gene=yfkN_1	K01119
gene=nemR_3	K16137
gene=araP_7	K02025
gene=glnS	K01886
gene=rplC_1	K02906
gene=pncA	K08281
gene=agrA_2	K07707
gene=yheS	K06158
gene=kshB_2	K15983
gene=srlA_1	K02783
gene=lptC	K11719
gene=yqhS	K03786
gene=antA_1	K05599
gene=dnaX_3	K02343
gene=hslU_2	K03667
gene=drrB_6	K01992
gene=ribBA_5	K02858
gene=mprA_3	K07669
gene=whiB2_2	K18955
gene=hbpA_5	K02035
gene=mtnK	K00899
gene=sleB_1	K01449
gene=antA_2	K00479
gene=ybaK	K03976
gene=yedW_1	K02486
gene=hpxO_12	K17940
gene=rpsH_2	K02994
gene=helD_1	K03657
gene=fepB	K23185
gene=pknK_5	K08833
gene=prlF	K19156
gene=devR_4	K07695
gene=dnaX_1	K02341
gene=czcD_2	K14689
gene=cmr	K21884
gene=iucC_1	K23374
gene=spoIIID	K06283
gene=lnt	K03820
gene=dgaE_1	K17468
gene=atpG_2	K02115
gene=cfxP	K00855
gene=fabZ	K02372
gene=yueB_1	K01421
gene=yjjV_1	K03424
gene=araN_3	K02027
gene=cobIJ_2	K13540
gene=rlmE	K02427
gene=rlmB_1	K03218
gene=exuT_4	K08191
gene=yxlF_4	K01990
gene=sodA_2	K04564
gene=nfi_1	K05982
protein=putative	K12425
gene=dnaC_4	K02315
gene=desK_20	K07778
gene=tlyC	K06189
gene=nagZ	K01207
gene=czcA_2	K21134
gene=dnaX_2	K02343
gene=ssaN	K03224
gene=gltR_11	K23773
gene=ugpC_15	K05816
gene=asnS_1	K01893
gene=kefC_2	K11747
gene=secY_2	K03076
gene=mltA	K08304
gene=murD	K01925
gene=ettA_3	K15738
gene=afsR_14	K22894
gene=ilvI_3	K01652
gene=recG_2	K03655
gene=eutL	K04026
gene=betI_4	K02167
gene=cobB_1	K11414
gene=czcO	K07222
gene=nuoM_2	K00342
gene=ctaC	K02275
gene=chiA1_5	K01183
gene=metJ	K03764
gene=ino1_2	K01858
gene=gmk	K00942
gene=vapC_4	K18828
protein=Putative	K00123
gene=ppa_2	K01507
gene=msrA1	K07304
gene=zapD	K18778
gene=glkA_3	K25026
gene=tuf	K02358
gene=mbtB_4	K12239
gene=espH	K27090
gene=prcA_1	K01349
gene=cadC_3	K21903
gene=rbsA_20	K17215
gene=yhcB_2	K09908
gene=galS_2	K02529
gene=mhqD_2	K06999
gene=yvcJ	K06958
gene=msmE_12	K02027
gene=mngA_2	K02806
gene=dhaK_2	K05878
gene=spoVD_8	K08384
gene=gltA_2	K01647
gene=rsmD	K08316
gene=priA_3	K04066
gene=moeB_3	K21029
gene=yfcG_6	K11209
protein=Metallo-beta-lactamase	K17837
gene=aceB	K01638
gene=dapAL	K21062
gene=groS2	K04078
gene=pknK_9	K13419
gene=dcm_2	K00558
gene=tsr	K03406
gene=liaS_4	K11623
gene=rpoC_1	K03046
gene=pknL	K08884
gene=flgF_1	K02391
gene=acoB_1	K21417
gene=thpA_5	K10439
gene=gcvT_1	K00605
gene=comFB	K02241
protein=Dodecin	K09165
gene=cspD	K03704
gene=suaB	K05337
gene=vacA_2	K11028
gene=ctaE_3	K02276
gene=sapD_2	K12371
gene=yehU_11	K07718
gene=fimC	K07346
gene=macB	K05685
gene=gpmI	K15633
gene=nhaP2_3	K24160
gene=dppC_3	K02034
gene=hutG_2	K01479
gene=rho_1	K03628
gene=fhuA_16	K02014
gene=vanXB	K08641
gene=hemC	K01749
gene=pctC_1	K03406
gene=argJ	K00620
gene=nuoB_2	K00331
gene=rhtC_1	K03329
gene=oleD_2	K00699
gene=spoVS_2	K06416
gene=dctA	K11103
gene=agaK	K00884
gene=kdpE	K07667
gene=dinJ_2	K07473
gene=hemD	K01719
gene=rhaB	K00848
gene=ccmE_1	K02197
gene=livF_33	K11958
gene=ecpR_1	K21963
gene=mutX_2	K03574
gene=rsxC	K03615
gene=gstB_4	K00799
gene=cusS_2	K07644
gene=leuS_1	K01869
gene=tetA_7	K08151
gene=cspG_4	K03704
gene=proC_3	K00286
gene=tesB_3	K10805
protein=Putative	K00123
gene=ndk_2	K00940
protein=Putative	K00123
gene=truD_2	K06176
gene=yciB	K06190
gene=aruG	K00673
gene=adiA_2	K01584
gene=dctB_1	K10125
gene=betL	K05020
gene=trkA	K03499
gene=mltG	K07082
gene=axe1-6A_2	K07017
gene=ycgZ	K21974
gene=dnaQ	K02342
gene=clpS2	K06891
gene=prsA3_1	K01802
gene=eno_1	K01689
gene=ilvB_3	K01652
gene=pucL	K13485
gene=spoVS	K06416
gene=fbiC	K11779
gene=pgk/tpi_1	K00927
gene=trkA_3	K03499
gene=safA	K23236
gene=yndE_11	K06311
gene=pnbA_5	K03929
gene=grpE	K03687
gene=kdgM_1	K22110
gene=rssA_3	K07649
gene=glcR_5	K22103
gene=polX	K04477
gene=sspK	K06428
gene=desA1_5	K03921
protein=putative	K12425
gene=kdgT_1	K02526
gene=otsA_3	K00697
gene=exbB_4	K03561
gene=motA_1	K02556
gene=galT	K00965
gene=hcaT	K05820
gene=hdc_3	K01590
gene=phoA_1	K01077
gene=infB	K02519
gene=tylN	K05841
gene=yhdG_15	K13863
gene=prfB	K02836
gene=stf0_2	K21014
protein=Putative	K00123
gene=otsA	K00697
gene=rmlC_1	K01790
gene=esxI_1	K14956
gene=sufE	K02426
gene=cobQ_3	K02232
gene=actP_3	K14393
gene=dauA_1	K03321
gene=sbnA_1	K21949
gene=ctaA_2	K02259
gene=cpxR_2	K02483
gene=ktrB	K03498
gene=tsaA_3	K03386
gene=spoIIID_2	K06283
gene=yidC2_1	K03217
gene=rbsA_27	K02056
protein=Aspartate	K00928
gene=bphP_2	K11354
gene=rseP_1	K11749
gene=dapD_2	K00674
gene=gcvP_4	K00281
gene=puuB_1	K09471
gene=clsA	K06131
gene=rfaC_1	K02841
gene=tehA	K03304
gene=pykF_2	K00873
gene=epsJ_6	K25652
gene=cheV_4	K03415
gene=pbuG_3	K06901
protein=CRISPR-associated	K07016
gene=citE_4	K01644
gene=arnF	K12963
gene=frr_1	K02838
gene=glgB	K00700
gene=rpmG	K02913
gene=rffG_1	K01710
gene=siaA	K08068
protein=Dihydrolipoyllysine-residue	K00627
gene=gmuD_5	K01223
gene=gsiA_7	K25099
gene=ybcI	K07038
protein=Putative	K00123
gene=tufB	K02358
gene=spxA_1	K16509
gene=marA_1	K13632
gene=cheR	K00575
gene=lsoA	K03469
gene=rnpA_2	K03536
gene=vapC2_1	K18828
gene=hcpC_3	K07126
gene=hns_2	K03746
gene=nudC_2	K03426
gene=gadC_4	K20265
gene=alaS	K01872
gene=thcD_1	K04727
gene=sodA	K04564
gene=neo	K19300
gene=cysJ	K00380
gene=ctpB_2	K03797
gene=araQ_63	K17236
gene=hisA_1	K01814
gene=oppC_2	K15582
gene=speE_1	K00797
gene=cobB_3	K11414
protein=Methyl-branched	K20497
gene=coaE	K00859
gene=ntpJ_1	K03498
gene=epsH_4	K25669
gene=sugC_1	K10112
protein=Cytochrome	K17483
gene=clpP_3	K01358
gene=catD_4	K01055
gene=mutM	K10563
gene=ltaS1_5	K19005
gene=esiB_1	K25885
gene=yndE_3	K06311
gene=tetO	K18220
gene=argH	K01755
gene=gltX_3	K01894
gene=ptsH	K02784
gene=livH_6	K11960
gene=cbhB	K20276
gene=psbH_2	K02709
gene=dmoA_2	K20938
gene=nlpD_1	K12943
gene=nirQ	K04748
gene=clpB1_1	K03695
gene=cheR2	K00575
gene=crh	K02784
gene=fda_2	K01623
gene=tsnR	K03437
gene=mgsA_1	K01734
gene=cymR_1	K17472
gene=kefC_3	K11747
gene=yhdG_3	K16238
gene=hly	K11032
protein=NAD(P)H	K03809
gene=bglH_1	K01223
gene=rfaH_2	K05785
protein=Sensor	K02484
gene=alr_4	K01775
protein=Putative	K00123
gene=lytC_2	K01448
gene=fabD_3	K00645
gene=narX_7	K00373
gene=xerD	K04763
gene=srpA_3	K18094
gene=feoB	K04759
gene=rnjA_3	K12574
gene=groL1_2	K04077
gene=psbB_2	K02704
gene=pgpA_2	K01095
gene=bcp_5	K24129
gene=purR_2	K02529
gene=levD_2	K02744
gene=rplA	K02863
gene=rspA	K08323
gene=nrdF1	K00526
gene=spaK	K22512
protein=Cytochrome	K17483
gene=ais_2	K02020
gene=dam_2	K06223
gene=rbbA_2	K25152
gene=ulaA_1	K03475
gene=hisQ_7	K10016
gene=yitJ_1	K00548
gene=occM_4	K10019
gene=cspG_2	K03704
gene=nqrF_1	K00351
gene=sfrB_1	K00266
gene=rplX_1	K02895
gene=mbtL_2	K02078
gene=rpmE2_2	K02909
gene=narX_5	K00374
gene=bioA_2	K19562
gene=ldrD_4	K18862
gene=sstT	K07862
protein=putative	K12425
gene=cas4-cas1	K15342
gene=flaA_2	K02406
gene=adrB_3	K21090
gene=bdhA_1	K00019
gene=liuE_1	K01640
gene=carD_5	K03521
gene=cdtB	K11014
protein=Sulfide-quinone	K17218
gene=kaiC_3	K08482
gene=kch	K10716
gene=lpxA_1	K00677
gene=mscM_1	K05802
gene=oadB_1	K20509
gene=pikC_2	K15468
gene=fbaB_2	K11645
gene=cbl_1	K13635
gene=phnA_2	K13063
gene=ybhF_6	K25156
gene=eae_1	K13735
gene=fumC_3	K01679
gene=cdiA_2	K15125
gene=acm_3	K07273
gene=garD_2	K01708
gene=ispG_1	K03526
gene=fliG	K02410
gene=apc4_1	K01474
gene=tsr_4	K05874
gene=ubiC_2	K03181
gene=ygfA	K01934
gene=murJ	K03980
gene=cls_1	K06131
gene=clpS_2	K06891
gene=tyrR_3	K03721
protein=Ribonuclease	K07577
protein=putative	K12425
protein=5'-nucleotidase	K01091
protein=Formate	K00122
gene=spuD	K11073
gene=sufU_1	K04488
gene=pqiA_2	K03808
gene=trpC_1	K01609
gene=fabG3	K00038
gene=yorK	K07462
gene=cvrA	K11105
gene=lgoT_3	K08193
gene=ydfG_3	K16066
protein=Arylmalonate	K01799
gene=lprA_2	K14955
gene=iucD	K03897
gene=nrdZ	K00525
gene=btrV_1	K04749
gene=hpcD_1	K01826
gene=yhdY_2	K09971
gene=mnhC1_1	K05567
gene=prrA_2	K07671
protein=4-hydroxyproline	K12658
gene=senX3_2	K07768
gene=oppA_4	K15580
protein=Putative	K00123
gene=comM	K07391
gene=argR_4	K03402
gene=lutB_2	K18929
gene=php_3	K07048
gene=asrB_1	K16951
gene=rpmI_2	K02916
gene=pgk/tpi_2	K01803
gene=ctpB_3	K03797
gene=regB_1	K15011
gene=yqgF_1	K07447
gene=aseR_1	K03892
gene=sugB_1	K02026
gene=fusA_2	K02355
gene=evgS_1	K07679
gene=bspRIM	K00558
gene=divK_2	K11443
gene=araQ_15	K10234
gene=spoVT_3	K04769
gene=fpvA	K16088
gene=seqA	K03645
gene=mrcB	K05365
gene=hxlB_2	K08094
gene=mazE7	K26987
gene=pcaH_3	K00449
gene=alsT_2	K03310
gene=fdxA	K05524
gene=calB	K00154
gene=ypwA	K01299
gene=nasA	K00372
gene=ptsH_1	K02784
gene=hlyB_2	K06148
gene=pepF1_1	K08602
gene=atsA_9	K01135
gene=rho	K03628
gene=dac	K07259
gene=serA	K00058
gene=ilvE_3	K00826
gene=gsiA_2	K13892
gene=phnE_3	K02042
protein=D-fructose	K11532
gene=ddpC_8	K02034
gene=mdtC_1	K03072
gene=dus_1	K05540
protein=Putative	K00123
gene=yhdY	K09971
gene=lacF_2	K17316
protein=Arylesterase	K10804
gene=pimE_1	K13669
gene=dnaE	K02337
gene=cls	K06131
gene=bcr	K07552
gene=mltF_4	K02030
protein=Phosphomevalonate	K00938
gene=hisC_1	K00817
protein=Ca(2+)/H(+)	K07300
gene=mtnD_1	K08967
gene=spiA	K03219
gene=hisN	K05602
gene=glgC_4	K00975
gene=kgd_2	K00164
gene=rpoN2_3	K03092
gene=aprX_1	K17734
gene=carB_1	K01955
gene=srmB_1	K03579
gene=rpmE2_3	K02909
protein=Putative	K00123
gene=ssuC_2	K02050
gene=kdgK_7	K21621
gene=folE_2	K01495
gene=fbpC2	K02010
gene=ubiX	K03186
gene=trm1_1	K00555
gene=yteP_22	K25671
protein=Bifunctional	K10717
gene=patA_1	K19294
gene=xylR	K02529
gene=exbB	K03562
gene=trpD2_2	K00766
gene=salA_1	K03593
gene=uacT_1	K24206
gene=dmdC_2	K20035
gene=cbdB_1	K05550
gene=thiL	K00946
gene=yxeO_2	K10010
gene=nanT_4	K03290
gene=lon2	K07157
gene=yegE_2	K21084
gene=thiY_1	K02051
gene=thyX_1	K03465
gene=metQ_4	K02073
gene=mdtB_1	K07788
gene=lrp_7	K26601
gene=zosA_2	K01534
gene=sapA	K19226
gene=metP	K02053
gene=xerD_5	K07358
gene=clcA	K03281
gene=eco	K08276
gene=yhaV_3	K19155
gene=fra	K05937
gene=decR	K05800
gene=thlA	K00626
gene=cwlO_3	K21471
gene=sigJ_2	K03088
gene=eno2_2	K01689
gene=dexB	K01215
gene=bssD	K04069
gene=asnB_2	K01953
gene=tynA	K00276
protein=L-gulono-1,4-lactone	K05888
protein=4-hydroxyphenylacetate	K00483
gene=csoR_2	K21600
gene=phnT_1	K02017
gene=msmE_1	K10117
gene=clpY	K03667
gene=fixX	K03855
gene=colD_1	K12452
gene=arfA	K09890
gene=hflK_4	K04088
gene=nimR_6	K25495
protein=Lipoate--protein	K03800
gene=gbuC_4	K02002
gene=ykoC_1	K16785
gene=dcuD	K03326
gene=cbtA_6	K18837
gene=sapB	K19227
gene=mglA_4	K23537
gene=rnhC	K03471
gene=ppiB	K03768
gene=arcD_4	K03758
gene=infB_1	K02519
gene=garK_2	K00865
gene=araQ_60	K17320
gene=topB_2	K03169
gene=priA_2	K04066
protein=Acyl-CoA	K00249
gene=zraS_20	K07709
gene=dhlA	K01563
gene=amaB_2	K02083
gene=tcyB_2	K02029
gene=rfbJ	K12453
gene=fpvA_7	K16088
gene=manY	K02795
gene=macA_7	K24950
gene=yteP	K17319
gene=eccE1	K27088
gene=hpcG_1	K02509
gene=rpoB_1	K03045
protein=Putative	K00123
gene=zraR_3	K11914
gene=porD_1	K00171
gene=lysS_2	K04566
gene=eptA_2	K03760
gene=rbsA_17	K10441
gene=comEC_2	K02238
gene=recU_1	K03700
gene=gerBA	K06295
gene=rpsC_2	K02982
gene=mkl_3	K02065
gene=cbiO	K01990
gene=gph_4	K01091
gene=oppD_3	K02031
gene=chp2	K22796
gene=moeA	K03750
gene=kdsB_1	K07257
gene=atpD	K02112
gene=rnjB	K12574
gene=hcnC_3	K21061
gene=yheS_4	K18231
gene=srlR_8	K03436
gene=rimK_3	K05844
gene=lacG_5	K02026
gene=flgI_1	K02394
gene=pomA_1	K02556
gene=rplN_2	K02874
gene=lptF	K07091
