"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"ko04922","Glucagon signaling pathway [PATH:ko04922]","1/129","49/12410",0.401309844034055,0.612525551420399,0.544714192733204,"gene=prkC_12",1
"ko05415","Diabetic cardiomyopathy [PATH:ko05415]","1/129","62/12410",0.477671823496913,0.71038373750823,0.631738713936538,"gene=gap",1
"ko04212","Longevity regulating pathway - worm [PATH:ko04212]","1/129","66/12410",0.499161851069404,0.723784684050635,0.64365607111581,"gene=pknA_3",1
"ko03029","Mitochondrial biogenesis [BR:ko03029]","2/129","175/12410",0.545787696907152,0.772089912697922,0.686613533978188,"gene=pknA_3/gene=prkC_12",2
"ko05111","Biofilm formation - Vibrio cholerae [PATH:ko05111]","1/129","92/12410",0.618975419924316,0.832688369542429,0.740503268740091,"gene=crp",1
"ko00480","Glutathione metabolism [PATH:ko00480]","1/129","95/12410",0.630822261201494,0.832688369542429,0.740503268740091,"gene=gpx1",1
"ko00710","Carbon fixation in photosynthetic organisms [PATH:ko00710]","1/129","96/12410",0.634689409257118,0.832688369542429,0.740503268740091,"gene=gap",1
"ko02026","Biofilm formation - Escherichia coli [PATH:ko02026]","1/129","99/12410",0.646051321196712,0.832688369542429,0.740503268740091,"gene=crp",1
"99978","Cell growth","1/129","103/12410",0.660656832603928,0.833002093283213,0.740782260814473,"gene=gerAC",1
"ko00220","Arginine biosynthesis [PATH:ko00220]","1/129","118/12410",0.710294750073815,0.876533946899602,0.779494798513258,"gene=arcB",1
"ko00910","Nitrogen metabolism [PATH:ko00910]","1/129","124/12410",0.728068402635663,0.879749319851426,0.782354204586568,"gene=cah",1
"ko01504","Antimicrobial resistance genes [BR:ko01504]","1/129","135/12410",0.757889293621559,0.897093449592866,0.797778203812168,"gene=tetA",1
"ko00010","Glycolysis / Gluconeogenesis [PATH:ko00010]","2/129","271/12410",0.776755050683834,0.901035858793248,0.801284157547535,"gene=bglH_4/gene=gap",2
"ko03021","Transcription machinery [BR:ko03021]","1/129","151/12410",0.795564044522139,0.904759109456551,0.804595215306188,"gene=nusG",1
"ko03009","Ribosome biogenesis [BR:ko03009]","1/129","198/12410",0.87577199973032,0.941691993186205,0.837439340583014,"gene=nusG",1
"ko01011","Peptidoglycan biosynthesis and degradation proteins [BR:ko01011]","1/129","202/12410",0.880939107089076,0.941691993186205,0.837439340583014,"gene=mepM",1
"ko00500","Starch and sucrose metabolism [PATH:ko00500]","1/129","213/12410",0.894074799548211,0.941691993186205,0.837439340583014,"gene=bglH_4",1
"ko01002","Peptidases and inhibitors [BR:ko01002]","2/129","389/12410",0.916057893259705,0.941691993186205,0.837439340583014,"gene=mepM/gene=prc",2
"ko03036","Chromosome and associated proteins [BR:ko03036]","1/129","244/12410",0.923849524464841,0.941691993186205,0.837439340583014,"gene=smc_1",1
"ko04147","Exosome [BR:ko04147]","1/129","246/12410",0.925455924338167,0.941691993186205,0.837439340583014,"gene=gap",1
"ko02022","Two-component system [BR:ko02022]","1/129","355/12410",0.976802429559677,0.976802429559677,0.868662777648351,"gene=walK",1
