ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count,type
GO:0006412,translation,40/2521,267/26361,0.0029469903983260102,0.219919158475078,0.21404456577315195,gene=rplO_1/gene=rpsB/gene=rpmF/gene=rimK/gene=ctc/gene=rpsS/gene=rpmH/gene=rplW/gene=rplE/gene=def/gene=tetM/gene=radD_2/gene=rplN/gene=rpmG2/gene=ettA/gene=rpsG/gene=rplO/gene=rpmD/gene=rpsL/gene=gatC/gene=rpmB/gene=ettA_2/gene=rplT/gene=rplQ/gene=rpsR/gene=rplU/gene=rpmJ/gene=rpsN/gene=rplS/gene=rpsP/gene=rplJ/gene=rplB/gene=rpsD/gene=rpsF/gene=rplX/gene=ybaK_2/gene=rpsE/gene=rplA_1/gene=yugI/gene=rplD,40,biological_process
GO:0006574,valine catabolic process,6/2521,17/26361,0.0037180784120446203,0.261140330822428,0.254164617145341,gene=bauC/gene=acrC_1/gene=bauC_2/gene=mmsB/gene=crt_4/gene=crt_3,6,biological_process
GO:0006526,arginine biosynthetic process,11/2521,47/26361,0.00407398598840796,0.270241070564395,0.26302225328669,gene=argF_2/gene=carB_3/gene=carB_1/gene=argE_2/gene=rizA/gene=argC/gene=carB/gene=argD_1/gene=argF/gene=argR_2/gene=carB_2,11,biological_process
GO:0006260,DNA replication,29/2521,183/26361,0.004675386720796561,0.293811144454268,0.28596271134401097,gene=dam_2/gene=dnaE_3/gene=dnaJ_3/gene=ssb/gene=nrdF2/gene=ssbA_1/gene=mutT1_1/gene=ssbA/gene=dnaC_1/gene=recF/gene=dinG/gene=nrdD/gene=traC_3/gene=smc_1/gene=ssbA_3/gene=soj_2/gene=nrdF_1/gene=ligA_1/gene=nrdF/gene=dnaI_2/gene=dnaI/gene=hda/gene=dnaJ/gene=dnaC_3/gene=nrdE_1/gene=dam/gene=sbcC/gene=mutX/gene=nrdE,29,biological_process
GO:0016887,ATP hydrolysis activity,57/2521,422/26361,0.00496264195098643,0.29626972447389005,0.288355616520474,gene=cobS/gene=uup/gene=lon/gene=clpY/gene=dnaK/gene=groL_1/gene=clpC_3/gene=ychF_2/gene=pacS/gene=ychF_3/gene=deaD/gene=mlaB/gene=uvrB_2/gene=uvrD2_2/gene=groL/gene=uvrD1/gene=yfmL/gene=cshA/gene=zapE_1/gene=fliI/gene=radD_2/gene=ctpD/gene=clpE_1/gene=uvrA_1/gene=helD/gene=dnaK2/gene=yscN_1/gene=hxcR_2/gene=ettA/gene=ftsH_1/gene=smc_1/gene=uvrA/gene=ettA_2/gene=helD_2/gene=dnaK_2/gene=clpB_1/gene=ychF/gene=soj/gene=mutS2/gene=srmB/gene=recD2_2/gene=clpC1_2/gene=mcrB/gene=yscN/gene=groL_2/gene=clpB_2/gene=pcrA_2/gene=recD2/gene=rep/gene=uvrD2/gene=recD_2/gene=dnaB_1/gene=cshC/gene=dbpA_1/gene=ftsH/gene=dnaC/gene=uvrB,57,molecular_function
GO:0016301,kinase activity,40/2521,276/26361,0.0052732609165874605,0.299822549257401,0.29181353643672,gene=manP_4/gene=ulaC_2/gene=folK/gene=ppdK/gene=ptsI/gene=ulaC_1/gene=ulaC/gene=cpdR_1/gene=manX_2/gene=prs_2/gene=fruB/gene=fruA_9/gene=ptsG_5/gene=sacX/gene=glpK_1/gene=sorB_5/gene=aacA-aphD/gene=bglF_3/gene=ptsI_1/gene=licR/gene=amiC_1/gene=gatB_1/gene=spoT_3/gene=manX_5/gene=malX/gene=crr/gene=relA/gene=mtlF/gene=malP_1/gene=cmdD/gene=treP/gene=sorA/gene=ptsG_3/gene=steC/gene=bglF_1/gene=mngA_3/gene=lacS/gene=tsaE/gene=pigC/gene=ptsG_1,40,molecular_function
GO:0045261,"proton-transporting ATP synthase complex, catalytic core F(1)",8/2521,30/26361,0.00593192826638469,0.321941925002878,0.31334204813821503,gene=atpA_1/gene=atpD1/gene=atpA/gene=atpD/gene=atpG/gene=yscN/gene=atpA_2/gene=atpH,8,cellular_component
GO:0043022,ribosome binding,9/2521,37/26361,0.0069180106961166795,0.349423176767034,0.340089206692062,gene=uup/gene=lepA_2/gene=ychF_2/gene=raiA/gene=ychF_3/gene=ettA/gene=ettA_2/gene=ychF/gene=relE_1,9,molecular_function
GO:0015990,electron transport coupled proton transport,8/2521,31/26361,0.00733722610633357,0.349423176767034,0.340089206692062,gene=cyoD/gene=ctaD_3/gene=ctaD_2/gene=ctaD/gene=ndhD1/gene=ctaD_5/gene=ctaD_4/gene=ctaD_1,8,biological_process
GO:0015934,large ribosomal subunit,7/2521,25/26361,0.007427278847032409,0.349423176767034,0.340089206692062,gene=rpmF/gene=rplN/gene=rplO/gene=rpmD/gene=rplJ/gene=rplB/gene=rplA_1,7,cellular_component
GO:0106029,tRNA pseudouridine synthase activity,5/2521,14/26361,0.00762747521142444,0.349423176767034,0.340089206692062,gene=truD/gene=rluA_3/gene=truA_2/gene=rluA_2/gene=truA,5,molecular_function
GO:0047834,D-threo-aldose 1-dehydrogenase activity,12/2521,58/26361,0.00790152912287263,0.349423176767034,0.340089206692062,gene=ytbE/gene=ydhF/gene=yvgN/gene=ydhF_1/gene=yhdN_10/gene=yhdN/gene=yvgN_1/gene=gpr_1/gene=yvgN_2/gene=dkgA/gene=fdh/gene=yhdN_1,12,molecular_function
GO:0003735,structural constituent of ribosome,32/2521,217/26361,0.00909026712456862,0.38763496238339096,0.37728025960615597,gene=rplO_1/gene=rpsB/gene=rpmF/gene=ctc/gene=rpsS/gene=rpmH/gene=rplW/gene=rplE/gene=rplN/gene=rpmG2/gene=rpsG/gene=rplO/gene=rpmD/gene=rpsL/gene=rpmB/gene=rplT/gene=rplQ/gene=rpsR/gene=rplU/gene=rpmJ/gene=rpsN/gene=rplS/gene=rpsP/gene=rplJ/gene=rplB/gene=rpsD/gene=rpsF/gene=rplX/gene=rpsE/gene=rplA_1/gene=yugI/gene=rplD,32,molecular_function
GO:0071916,dipeptide transmembrane transporter activity,9/2521,39/26361,0.00990841194820974,0.403617036977959,0.39283541287460705,gene=dppB_4/gene=mdtH/gene=nikB/gene=dppB/gene=dppB_1/gene=nikB_1/gene=dtpA/gene=bcr_1/gene=dppB_2,9,molecular_function
GO:0006310,DNA recombination,31/2521,211/26361,0.0106469657835167,0.403617036977959,0.39283541287460705,gene=recC/gene=hin_4/gene=rusA_2/gene=recA_1/gene=ssb/gene=ligD_1/gene=xis/gene=ssbA_1/gene=intA_5/gene=intS/gene=intS_5/gene=ssbA/gene=helD/gene=xerD_2/gene=ligC/gene=xerC_6/gene=xerC_1/gene=yorK/gene=xerD_3/gene=hin_3/gene=tnpR_1/gene=intS_3/gene=recN/gene=Int-Tn/gene=intS_7/gene=rusA_1/gene=recD2_2/gene=Int-Tn_1/gene=recD2/gene=sbcC/gene=xerC_5,31,biological_process
GO:0015103,inorganic anion transmembrane transporter activity,4/2521,10/26361,0.010927532144280001,0.403617036977959,0.39283541287460705,gene=crcB/gene=crcB_4/gene=acr3_1/gene=acr3,4,molecular_function
GO:0006289,nucleotide-excision repair,7/2521,27/26361,0.0115892246338181,0.403617036977959,0.39283541287460705,gene=uvrC_1/gene=uvrB_2/gene=uvrA_1/gene=uvrA/gene=uvrC/gene=fpg2_2/gene=uvrB,7,biological_process
GO:0075713,establishment of integrated proviral latency,9/2521,40/26361,0.011725560773965,0.403617036977959,0.39283541287460705,gene=intA_5/gene=intS/gene=intS_5/gene=xerD_2/gene=xerC_6/gene=xerC_1/gene=intS_3/gene=intS_7/gene=xerC_5,9,biological_process
GO:0005525,GTP binding,44/2521,325/26361,0.0118697646841784,0.403617036977959,0.39283541287460705,gene=yedQ_1/gene=lepA_2/gene=yjiA/gene=folE_2/gene=drrA_8/gene=yegE_1/gene=ychF_2/gene=yeaI_1/gene=ftsZ_1/gene=folE/gene=putR/gene=tufB_2/gene=ychF_3/gene=acsA_2/gene=cetZ_2/gene=tetM/gene=mobA_2/gene=der_1/gene=ydaM/gene=engB/gene=infB/gene=cysNC/gene=ydeH/gene=relA/gene=rbgA/gene=ychF/gene=tuf_2/gene=ycdT_3/gene=obg/gene=mcrB/gene=yfiN/gene=moaB_2/gene=mobA_3/gene=feoB_1/gene=cgtA/gene=ffh_1/gene=folE_1/gene=rapZ/gene=tuf_1/gene=tuf/gene=pleD/gene=ftsY/gene=fbiB/gene=manC1_1,44,molecular_function
GO:0007049,cell cycle,29/2521,197/26361,0.012825947745799001,0.403617036977959,0.39283541287460705,gene=pbpB/gene=murF/gene=racA_1/gene=ftsK/gene=xerC_4/gene=spoIIIE/gene=murG/gene=murB/gene=ftsW/gene=ftsX/gene=xerC_2/gene=murF_2/gene=tagO_2/gene=zapE_1/gene=xerC/gene=murF_4/gene=ftsK_2/gene=nlpD/gene=lytH/gene=murG_4/gene=Int-Tn/gene=murA1/gene=xerC_3/gene=pdhS_2/gene=ftsK_1/gene=mraY/gene=pleD/gene=scpA/gene=xerD,29,biological_process
GO:0030170,pyridoxal phosphate binding,49/2521,372/26361,0.0135469137380534,0.403617036977959,0.39283541287460705,gene=tdcB_1/gene=mccB/gene=alr_1/gene=lysA/gene=ygeX/gene=hisC_3/gene=thrC/gene=dapL/gene=lysN_2/gene=patB/gene=csd/gene=tpa/gene=mgl/gene=cobD_2/gene=bioF_1/gene=norG_6/gene=hisC_1/gene=serC/gene=dapL_2/gene=aspC/gene=davT/gene=glyA1/gene=sufS_1/gene=gabR/gene=alr_4/gene=norG_2/gene=hemL_1/gene=iscS/gene=norG/gene=bioF_2/gene=dat_1/gene=lysJ_1/gene=gabT_1/gene=sufS/gene=argD_1/gene=gabT/gene=arnB/gene=lysN/gene=argR/gene=lysA_1/gene=mgl_1/gene=gadB/gene=glyA/gene=lysJ/gene=hisC/gene=kat/gene=alaA/gene=speF_1/gene=hisC_2,49,molecular_function
GO:0008465,glycerate dehydrogenase activity,5/2521,16/26361,0.0141601025360573,0.403617036977959,0.39283541287460705,gene=hprA_1/gene=ghrA_2/gene=ghrA/gene=ttuD_2/gene=ghrB_1,5,molecular_function
GO:0009401,phosphoenolpyruvate-dependent sugar phosphotransferase system,40/2521,295/26361,0.0154588421268436,0.403617036977959,0.39283541287460705,gene=manP_4/gene=ulaC_2/gene=ptsI/gene=ulaC_1/gene=ptsO/gene=ulaC/gene=manX_2/gene=licC_4/gene=fruB/gene=fruA_9/gene=ptsG_5/gene=sacX/gene=sorB_5/gene=bglF_3/gene=ptsI_1/gene=licR/gene=chbA/gene=ulaA/gene=gatB_1/gene=sorA_1/gene=ptsH_1/gene=manX_5/gene=malX/gene=crr/gene=mtlF/gene=malP_1/gene=chbC/gene=dhaM/gene=treP/gene=sorA/gene=ptsG_3/gene=manZ_3/gene=licC_5/gene=fruA_4/gene=gatC_2/gene=bglF_1/gene=licC_2/gene=mngA_3/gene=lacS/gene=ptsG_1,40,biological_process
GO:0051301,cell division,31/2521,217/26361,0.0155340022863525,0.403617036977959,0.39283541287460705,gene=pbpB/gene=murF/gene=ftsK/gene=xerC_4/gene=spoIIIE/gene=murG/gene=murB/gene=ftsW_4/gene=ftsW_1/gene=ftsW/gene=ftsX/gene=xerC_2/gene=murF_2/gene=tagO_2/gene=zapE_1/gene=xerC/gene=bcsC_1/gene=radD_2/gene=murF_4/gene=ftsK_2/gene=nlpD/gene=murG_4/gene=Int-Tn/gene=murA1/gene=xerC_3/gene=pdhS_2/gene=ftsK_1/gene=mraY/gene=rodA/gene=scpA/gene=xerD,31,biological_process
GO:0016597,amino acid binding,8/2521,35/26361,0.0155489282161905,0.403617036977959,0.39283541287460705,gene=arcB/gene=argF_2/gene=pyrB/gene=pctA_3/gene=mcpB_3/gene=argF/gene=pctA/gene=asnC,8,molecular_function
GO:0006048,UDP-N-acetylglucosamine biosynthetic process,4/2521,11/26361,0.0158880296680868,0.403617036977959,0.39283541287460705,gene=glmU_1/gene=nagB_2/gene=glmU_2/gene=yjcF,4,biological_process
GO:0006106,fumarate metabolic process,4/2521,11/26361,0.0158880296680868,0.403617036977959,0.39283541287460705,gene=lutA_1/gene=frdD/gene=fumC/gene=fumC_2,4,biological_process
GO:0008889,glycerophosphodiester phosphodiesterase activity,4/2521,11/26361,0.0158880296680868,0.403617036977959,0.39283541287460705,gene=glpQ_4/gene=glpQ/gene=ugpQ_2/gene=ugpQ,4,molecular_function
GO:0043770,demethylmenaquinone methyltransferase activity,4/2521,11/26361,0.0158880296680868,0.403617036977959,0.39283541287460705,gene=menG_2/gene=ubiE/gene=ubiE_1/gene=menG,4,molecular_function
GO:0102027,S-adenosylmethionine:2-demethylquinol-8 methyltransferase activity,4/2521,11/26361,0.0158880296680868,0.403617036977959,0.39283541287460705,gene=menG_2/gene=ubiE/gene=ubiE_1/gene=menG,4,molecular_function
GO:0102094,S-adenosylmethionine:2-demethylmenaquinol methyltransferase activity,4/2521,11/26361,0.0158880296680868,0.403617036977959,0.39283541287460705,gene=menG_2/gene=ubiE/gene=ubiE_1/gene=menG,4,molecular_function
GO:0102955,S-adenosylmethionine:2-demethylmenaquinol-7 methyltransferase activity,4/2521,11/26361,0.0158880296680868,0.403617036977959,0.39283541287460705,gene=menG_2/gene=ubiE/gene=ubiE_1/gene=menG,4,molecular_function
GO:0008152,metabolic process,16/2521,94/26361,0.0162258105317772,0.403617036977959,0.39283541287460705,gene=tycC_2/gene=tycC_7/gene=hyaD/gene=lytG_4/gene=flgJ_1/gene=ydeH/gene=lytG_5/gene=isaA/gene=lytG/protein=Muramidase-2/gene=ybiA/gene=tycC_4/gene=moeZ_1/gene=tycC_3/gene=moeZ/gene=dhbA,16,biological_process
GO:0015833,peptide transport,24/2521,159/26361,0.0166668059127896,0.40612584203818003,0.395277201454774,gene=gsiC_2/gene=gsiD_5/gene=hbpA/gene=gsiC_1/gene=sarA_1/gene=gsiC/gene=oppD_3/gene=appA/gene=oppD_4/gene=dppE_1/gene=cstA_2/gene=sgrR_1/gene=dppE_4/gene=oppD_2/gene=oppF_1/gene=hbpA_3/gene=oppB_1/gene=ddpC_2/gene=dppC/gene=oppD/gene=nikA/gene=ddpF_1/gene=oppD_8/gene=gsiA_4,24,biological_process
GO:0016618,hydroxypyruvate reductase activity,5/2521,17/26361,0.0185109459210625,0.41904267227965797,0.407848990740318,gene=hprA_1/gene=ghrA_2/gene=ghrA/gene=ttuD_2/gene=ghrB_1,5,molecular_function
GO:0042918,alkanesulfonate transport,5/2521,17/26361,0.0185109459210625,0.41904267227965797,0.407848990740318,gene=ssuA_8/gene=ssuA_6/gene=ssuA_3/gene=ssuC_9/gene=ssuA,5,biological_process
GO:0042959,alkanesulfonate transmembrane transporter activity,5/2521,17/26361,0.0185109459210625,0.41904267227965797,0.407848990740318,gene=ssuA_8/gene=ssuA_6/gene=ssuA_3/gene=ssuC_9/gene=ssuA,5,molecular_function
GO:0015031,protein transport,34/2521,246/26361,0.0186007216338542,0.41904267227965797,0.407848990740318,gene=prsE_2/gene=dppB_4/gene=gsiC_2/gene=gsiD_5/gene=mdtH/gene=gsiC_1/gene=sarA_1/gene=gsiC/gene=oppD_3/gene=ata/gene=dppB/gene=appA/gene=oppD_4/gene=dppE_1/gene=btaE/gene=cstA_2/gene=dppB_1/gene=ehaG/gene=dppE_4/gene=oppF_1/gene=hbpA_3/gene=oppB_1/gene=ddpC_2/gene=dtpT_2/gene=dppC/gene=apxIB/gene=asp2/gene=oppD/gene=shlB_1/gene=dtpA/gene=bcr_1/gene=dppB_2/gene=ddpF_1/gene=oppD_8,34,biological_process
GO:0015297,antiporter activity,18/2521,113/26361,0.0213432882848902,0.45836805868135705,0.44612389736773206,gene=norM_2/gene=clcA_2/gene=norM/gene=narT/gene=yeeO_4/gene=yeeO/gene=ttdT/gene=adiC/gene=mdtK/gene=tetA/gene=clcA/gene=mnhE1/gene=nhaD/gene=acr3_1/gene=mrpE/gene=acr3/gene=dinF/gene=nhaA_1,18,molecular_function
GO:0016874,ligase activity,22/2521,146/26361,0.0215896218685877,0.45836805868135705,0.44612389736773206,gene=tycC_2/gene=dhbE/gene=hin_4/gene=bshC/gene=hin_1/gene=tycC_7/gene=lgrD_7/gene=madD/gene=fadD3/gene=pksJ/gene=srfAB/gene=pks5/gene=tycC/gene=hin_3/gene=lgrB/gene=icaA/gene=lcfB_15/gene=tycC_4/gene=tycC_3/gene=ygiC/gene=hin_2/gene=pigC,22,molecular_function
GO:0004476,mannose-6-phosphate isomerase activity,4/2521,12/26361,0.0220571895937687,0.45836805868135705,0.44612389736773206,gene=manA/gene=manA_2/gene=manA_1/gene=yvyI,4,molecular_function
GO:1902208,regulation of bacterial-type flagellum assembly,4/2521,12/26361,0.0220571895937687,0.45836805868135705,0.44612389736773206,gene=csrA/gene=flhD/gene=flhD_4/gene=flhD_2,4,biological_process
GO:0015935,small ribosomal subunit,6/2521,24/26361,0.0226496779415411,0.45836805868135705,0.44612389736773206,gene=rpsB/gene=rpsS/gene=rpsG/gene=rpsL/gene=rpsD/gene=rpsE,6,cellular_component
GO:0043200,response to amino acid,6/2521,24/26361,0.0226496779415411,0.45836805868135705,0.44612389736773206,gene=lrp_3/gene=pctA_3/gene=mcpB_3/gene=pctA/gene=decR_2/gene=asnC,6,biological_process
GO:0042953,lipoprotein transport,5/2521,18/26361,0.0236571249810277,0.470776787122452,0.458201157527274,gene=lolE/gene=lolD_2/gene=lolD/gene=lolD_1/gene=lolD_3,5,biological_process
GO:0044826,viral genome integration into host DNA,9/2521,45/26361,0.0247069736826041,0.482174615696818,0.469294521492804,gene=intA_5/gene=intS/gene=intS_5/gene=xerD_2/gene=xerC_6/gene=xerC_1/gene=intS_3/gene=intS_7/gene=xerC_5,9,biological_process
GO:0019344,cysteine biosynthetic process,8/2521,38/26361,0.0250375428586287,0.482174615696818,0.469294521492804,gene=cysH/gene=ntaA/gene=ntaA_5/gene=cysK/gene=cbs/gene=cysB/gene=cysK_1/gene=cysO,8,biological_process
GO:0010212,response to ionizing radiation,6/2521,25/26361,0.027456751339807003,0.512930329943386,0.49922867341752497,gene=dmlR_6/gene=radD_2/gene=dmlR_14/gene=yabI_1/gene=yabI/gene=dmlR_8,6,biological_process
GO:0006119,oxidative phosphorylation,8/2521,39/26361,0.0289418347064788,0.512930329943386,0.49922867341752497,gene=ctaD_3/gene=ctaD_2/gene=ctaD/gene=ctaD_5/gene=ctaD_4/gene=ctaDII/gene=cydX/gene=ctaD_1,8,biological_process
GO:0003872,6-phosphofructokinase activity,4/2521,13/26361,0.0294969871495951,0.512930329943386,0.49922867341752497,gene=pfkA2/gene=pfkA/gene=pfp/gene=pfkB,4,molecular_function
GO:0005971,ribonucleoside-diphosphate reductase complex,4/2521,13/26361,0.0294969871495951,0.512930329943386,0.49922867341752497,gene=nrdF2/gene=nrdF_1/gene=nrdF/gene=nrdE,4,cellular_component
GO:0008879,glucose-1-phosphate thymidylyltransferase activity,4/2521,13/26361,0.0294969871495951,0.512930329943386,0.49922867341752497,gene=rmlA_1/gene=rmlA_2/gene=rfbA/gene=rmlA,4,molecular_function
GO:0009313,oligosaccharide catabolic process,4/2521,13/26361,0.0294969871495951,0.512930329943386,0.49922867341752497,gene=mngB_2/gene=nedA_1/gene=treC/gene=mngB,4,biological_process
GO:0140078,class I DNA-(apurinic or apyrimidinic site) endonuclease activity,5/2521,19/26361,0.0296417024841656,0.512930329943386,0.49922867341752497,gene=nei1_2/gene=nth/gene=fpg1/gene=nei1/gene=pdg,5,molecular_function
GO:0000976,transcription cis-regulatory region binding,43/2521,337/26361,0.0315342190377546,0.537883679015414,0.5235154559049779,gene=cytR_5/gene=ypdB_2/gene=lacI_2/gene=cdhR_10/gene=gntR_4/gene=mprA_1/gene=nimR/gene=yodB_3/gene=fadR_3/gene=zur/gene=walR_3/gene=srrA_2/gene=rstA_1/gene=gntR/gene=cytR/gene=dmlR_6/gene=rbsR_1/gene=desR/gene=metR/gene=phoP/gene=dmlR_14/gene=srrA/gene=ccpA_3/gene=comR/gene=afsQ1/gene=ypdB/gene=phoB_2/gene=hipA_1/gene=pgrR_10/gene=cynR/gene=acrR/gene=iclR_3/gene=yehT/gene=rbsR_2/gene=dmlR_8/gene=relE_1/gene=cysB/gene=comR_1/gene=csgD/gene=fadR_5/gene=yjiE/gene=galS/gene=crp,43,molecular_function
GO:0006790,sulfur compound metabolic process,6/2521,26/26361,0.0328917687788681,0.5513278945609871,0.536600542709451,gene=ssuA_8/gene=cysP/gene=ssuA_6/gene=ssuA_3/gene=tusA_2/gene=ssuA,6,biological_process
GO:0044780,bacterial-type flagellum assembly,8/2521,40/26361,0.0332459031896073,0.5513278945609871,0.536600542709451,gene=flgA_1/gene=flhD/gene=flhD_4/gene=flgJ_1/gene=flhB/gene=flhA/gene=flhD_2/gene=yscN,8,biological_process
GO:0006751,glutathione catabolic process,4/2521,14/26361,0.0382447919248635,0.5962811033815679,0.580352938493565,gene=dapE_2/gene=ggt_3/gene=ggt_1/gene=ggt_2,4,biological_process
GO:0008963,phospho-N-acetylmuramoyl-pentapeptide-transferase activity,4/2521,14/26361,0.0382447919248635,0.5962811033815679,0.580352938493565,gene=tagO_2/gene=tagO/gene=wecA_2/gene=mraY,4,molecular_function
GO:0045263,"proton-transporting ATP synthase complex, coupling factor F(o)",4/2521,14/26361,0.0382447919248635,0.5962811033815679,0.580352938493565,gene=atpF/gene=atpE_2/gene=atpB/gene=atpE,4,cellular_component
GO:0070981,L-asparagine biosynthetic process,4/2521,14/26361,0.0382447919248635,0.5962811033815679,0.580352938493565,gene=asnA_1/gene=asnB_1/gene=asnB/gene=asnB_2,4,biological_process
GO:0006298,mismatch repair,6/2521,27/26361,0.0389782099631682,0.5962811033815679,0.580352938493565,gene=exoX/gene=mutY/gene=mutS2/gene=vsr/gene=dam_3/gene=mutS,6,biological_process
GO:0009234,menaquinone biosynthetic process,11/2521,64/26361,0.0391336216284914,0.5962811033815679,0.580352938493565,gene=menG_2/gene=menC_2/gene=menH_3/gene=ubiE/gene=menB/gene=menJ/gene=ubiE_1/gene=menC/gene=menG/gene=menA/gene=menF,11,biological_process
GO:0006629,lipid metabolic process,14/2521,88/26361,0.0394524348133533,0.5962811033815679,0.580352938493565,gene=glpQ_4/gene=glpQ/gene=lysX_2/gene=acrC_1/gene=glpQ_3/gene=lysX_1/gene=blc/gene=cfiB_3/gene=glpQ1/gene=plsC/protein=Arylesterase/gene=ugpQ_2/gene=ugpQ/gene=acsA,14,biological_process
